config,target,metric,value
eregalloc-c2+spectral,fixture:structs-aarch64,ldr_sp,17
eregalloc-c2+spectral,fixture:structs-aarch64,str_sp,12
eregalloc-c2+spectral,fixture:structs-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:structs-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:structs-aarch64,mov_imm,51
eregalloc-c2+spectral,fixture:structs-aarch64,objects,1
eregalloc-c2+spectral,fixture:structs-aarch64,correct,1
eregalloc-c2+spectral,fixture:structs-aarch64,run_median_s,0.000953
eregalloc-c2+spectral,fixture:structs-aarch64,run_min_s,0.000647
baseline,fixture:hello-world-aarch64,compile_s,0.133
baseline,fixture:hello-world-aarch64,obj_bytes,1728
baseline,fixture:hello-world-aarch64,text_bytes,351
baseline,fixture:hello-world-aarch64,insns,85
baseline,fixture:hello-world-aarch64,ldr_sp,13
baseline,fixture:hello-world-aarch64,str_sp,13
baseline,fixture:hello-world-aarch64,ldp_sp,0
baseline,fixture:hello-world-aarch64,stp_sp,0
baseline,fixture:hello-world-aarch64,mov_imm,8
baseline,fixture:hello-world-aarch64,objects,1
baseline,fixture:hello-world-aarch64,correct,1
baseline,fixture:hello-world-aarch64,run_median_s,0.000756
baseline,fixture:hello-world-aarch64,run_min_s,0.000674
weighted,fixture:hello-world-aarch64,compile_s,0.145
weighted,fixture:hello-world-aarch64,obj_bytes,1728
weighted,fixture:hello-world-aarch64,text_bytes,351
weighted,fixture:hello-world-aarch64,insns,85
weighted,fixture:hello-world-aarch64,ldr_sp,13
weighted,fixture:hello-world-aarch64,str_sp,13
weighted,fixture:hello-world-aarch64,ldp_sp,0
weighted,fixture:hello-world-aarch64,stp_sp,0
weighted,fixture:hello-world-aarch64,mov_imm,8
weighted,fixture:hello-world-aarch64,objects,1
weighted,fixture:hello-world-aarch64,correct,1
weighted,fixture:hello-world-aarch64,run_median_s,0.000871
weighted,fixture:hello-world-aarch64,run_min_s,0.000673
weighted+remat,fixture:hello-world-aarch64,compile_s,0.125
weighted+remat,fixture:hello-world-aarch64,obj_bytes,1728
weighted+remat,fixture:hello-world-aarch64,text_bytes,351
weighted+remat,fixture:hello-world-aarch64,insns,85
weighted+remat,fixture:hello-world-aarch64,ldr_sp,13
weighted+remat,fixture:hello-world-aarch64,str_sp,13
weighted+remat,fixture:hello-world-aarch64,ldp_sp,0
weighted+remat,fixture:hello-world-aarch64,stp_sp,0
weighted+remat,fixture:hello-world-aarch64,mov_imm,8
weighted+remat,fixture:hello-world-aarch64,objects,1
weighted+remat,fixture:hello-world-aarch64,correct,1
weighted+remat,fixture:hello-world-aarch64,run_median_s,0.000778
weighted+remat,fixture:hello-world-aarch64,run_min_s,0.000655
weighted+remat+spectral,fixture:hello-world-aarch64,compile_s,0.145
weighted+remat+spectral,fixture:hello-world-aarch64,obj_bytes,1728
weighted+remat+spectral,fixture:hello-world-aarch64,text_bytes,351
weighted+remat+spectral,fixture:hello-world-aarch64,insns,85
weighted+remat+spectral,fixture:hello-world-aarch64,ldr_sp,13
weighted+remat+spectral,fixture:hello-world-aarch64,str_sp,13
weighted+remat+spectral,fixture:hello-world-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:hello-world-aarch64,stp_sp,0
weighted+remat+spectral,fixture:hello-world-aarch64,mov_imm,8
weighted+remat+spectral,fixture:hello-world-aarch64,objects,1
weighted+remat+spectral,fixture:hello-world-aarch64,correct,1
