config,target,metric,value
weighted+remat,fixture:structs-aarch64,run_median_s,0.000471
weighted+remat,fixture:structs-aarch64,run_min_s,0.000421
weighted+remat+spectral,fixture:structs-aarch64,compile_s,0.116
weighted+remat+spectral,fixture:structs-aarch64,obj_bytes,2040
weighted+remat+spectral,fixture:structs-aarch64,text_bytes,620
weighted+remat+spectral,fixture:structs-aarch64,insns,155
weighted+remat+spectral,fixture:structs-aarch64,ldr_sp,17
weighted+remat+spectral,fixture:structs-aarch64,str_sp,12
weighted+remat+spectral,fixture:structs-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:structs-aarch64,stp_sp,0
weighted+remat+spectral,fixture:structs-aarch64,mov_imm,51
weighted+remat+spectral,fixture:structs-aarch64,objects,1
weighted+remat+spectral,fixture:structs-aarch64,correct,1
weighted+remat+spectral,fixture:structs-aarch64,run_median_s,0.000846
weighted+remat+spectral,fixture:structs-aarch64,run_min_s,0.00066
eregalloc-c0,fixture:structs-aarch64,compile_s,0.146
eregalloc-c0,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c0,fixture:structs-aarch64,text_bytes,620
eregalloc-c0,fixture:structs-aarch64,insns,155
eregalloc-c0,fixture:structs-aarch64,ldr_sp,17
eregalloc-c0,fixture:structs-aarch64,str_sp,12
eregalloc-c0,fixture:structs-aarch64,ldp_sp,0
eregalloc-c0,fixture:structs-aarch64,stp_sp,0
eregalloc-c0,fixture:structs-aarch64,mov_imm,51
eregalloc-c0,fixture:structs-aarch64,objects,1
eregalloc-c0,fixture:structs-aarch64,correct,1
eregalloc-c0,fixture:structs-aarch64,run_median_s,0.000504
eregalloc-c0,fixture:structs-aarch64,run_min_s,0.000443
eregalloc-c0+spectral,fixture:structs-aarch64,compile_s,0.12
eregalloc-c0+spectral,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c0+spectral,fixture:structs-aarch64,text_bytes,620
eregalloc-c0+spectral,fixture:structs-aarch64,insns,155
eregalloc-c0+spectral,fixture:structs-aarch64,ldr_sp,17
eregalloc-c0+spectral,fixture:structs-aarch64,str_sp,12
eregalloc-c0+spectral,fixture:structs-aarch64,ldp_sp,0
eregalloc-c0+spectral,fixture:structs-aarch64,stp_sp,0
eregalloc-c0+spectral,fixture:structs-aarch64,mov_imm,51
eregalloc-c0+spectral,fixture:structs-aarch64,objects,1
eregalloc-c0+spectral,fixture:structs-aarch64,correct,1
eregalloc-c0+spectral,fixture:structs-aarch64,run_median_s,0.000629
eregalloc-c0+spectral,fixture:structs-aarch64,run_min_s,0.000586
eregalloc-c2,fixture:structs-aarch64,compile_s,0.153
eregalloc-c2,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c2,fixture:structs-aarch64,text_bytes,620
eregalloc-c2,fixture:structs-aarch64,insns,155
eregalloc-c2,fixture:structs-aarch64,ldr_sp,17
eregalloc-c2,fixture:structs-aarch64,str_sp,12
eregalloc-c2,fixture:structs-aarch64,ldp_sp,0
eregalloc-c2,fixture:structs-aarch64,stp_sp,0
eregalloc-c2,fixture:structs-aarch64,mov_imm,51
eregalloc-c2,fixture:structs-aarch64,objects,1
eregalloc-c2,fixture:structs-aarch64,correct,1
eregalloc-c2,fixture:structs-aarch64,run_median_s,0.00071
eregalloc-c2,fixture:structs-aarch64,run_min_s,0.000668
eregalloc-c2+spectral,fixture:structs-aarch64,compile_s,0.153
eregalloc-c2+spectral,fixture:structs-aarch64,obj_bytes,2040
eregalloc-c2+spectral,fixture:structs-aarch64,text_bytes,620
eregalloc-c2+spectral,fixture:structs-aarch64,insns,155
eregalloc-c2+spectral,fixture:structs-aarch64,ldr_sp,17
eregalloc-c2+spectral,fixture:structs-aarch64,str_sp,12
eregalloc-c2+spectral,fixture:structs-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:structs-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:structs-aarch64,mov_imm,51
eregalloc-c2+spectral,fixture:structs-aarch64,objects,1
eregalloc-c2+spectral,fixture:structs-aarch64,correct,1
eregalloc-c2+spectral,fixture:structs-aarch64,run_median_s,0.000914
eregalloc-c2+spectral,fixture:structs-aarch64,run_min_s,0.000875
baseline,fixture:hello-world-aarch64,compile_s,0.134
baseline,fixture:hello-world-aarch64,obj_bytes,1728
baseline,fixture:hello-world-aarch64,text_bytes,351
baseline,fixture:hello-world-aarch64,insns,85
baseline,fixture:hello-world-aarch64,ldr_sp,13
baseline,fixture:hello-world-aarch64,str_sp,13
baseline,fixture:hello-world-aarch64,ldp_sp,0
baseline,fixture:hello-world-aarch64,stp_sp,0
baseline,fixture:hello-world-aarch64,mov_imm,8
baseline,fixture:hello-world-aarch64,objects,1
baseline,fixture:hello-world-aarch64,correct,1
baseline,fixture:hello-world-aarch64,run_median_s,0.000998
baseline,fixture:hello-world-aarch64,run_min_s,0.000769
weighted,fixture:hello-world-aarch64,compile_s,0.129
weighted,fixture:hello-world-aarch64,obj_bytes,1728
weighted,fixture:hello-world-aarch64,text_bytes,351
weighted,fixture:hello-world-aarch64,insns,85
weighted,fixture:hello-world-aarch64,ldr_sp,13
weighted,fixture:hello-world-aarch64,str_sp,13
weighted,fixture:hello-world-aarch64,ldp_sp,0
weighted,fixture:hello-world-aarch64,stp_sp,0
weighted,fixture:hello-world-aarch64,mov_imm,8
weighted,fixture:hello-world-aarch64,objects,1
weighted,fixture:hello-world-aarch64,correct,1
weighted,fixture:hello-world-aarch64,run_median_s,0.000952
weighted,fixture:hello-world-aarch64,run_min_s,0.000925
weighted+remat,fixture:hello-world-aarch64,compile_s,0.137
weighted+remat,fixture:hello-world-aarch64,obj_bytes,1728
weighted+remat,fixture:hello-world-aarch64,text_bytes,351
weighted+remat,fixture:hello-world-aarch64,insns,85
weighted+remat,fixture:hello-world-aarch64,ldr_sp,13
weighted+remat,fixture:hello-world-aarch64,str_sp,13
weighted+remat,fixture:hello-world-aarch64,ldp_sp,0
weighted+remat,fixture:hello-world-aarch64,stp_sp,0
weighted+remat,fixture:hello-world-aarch64,mov_imm,8
weighted+remat,fixture:hello-world-aarch64,objects,1
weighted+remat,fixture:hello-world-aarch64,correct,1
weighted+remat,fixture:hello-world-aarch64,run_median_s,0.000881
weighted+remat,fixture:hello-world-aarch64,run_min_s,0.000818
weighted+remat+spectral,fixture:hello-world-aarch64,compile_s,0.138
weighted+remat+spectral,fixture:hello-world-aarch64,obj_bytes,1728
weighted+remat+spectral,fixture:hello-world-aarch64,text_bytes,351
weighted+remat+spectral,fixture:hello-world-aarch64,insns,85
weighted+remat+spectral,fixture:hello-world-aarch64,ldr_sp,13
weighted+remat+spectral,fixture:hello-world-aarch64,str_sp,13
weighted+remat+spectral,fixture:hello-world-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:hello-world-aarch64,stp_sp,0
weighted+remat+spectral,fixture:hello-world-aarch64,mov_imm,8
weighted+remat+spectral,fixture:hello-world-aarch64,objects,1
