config,target,metric,value
weighted+remat+spectral,fixture:hello-world-aarch64,compile_s,0.13
weighted+remat+spectral,fixture:hello-world-aarch64,obj_bytes,1728
weighted+remat+spectral,fixture:hello-world-aarch64,text_bytes,351
weighted+remat+spectral,fixture:hello-world-aarch64,insns,85
weighted+remat+spectral,fixture:hello-world-aarch64,ldr_sp,13
weighted+remat+spectral,fixture:hello-world-aarch64,str_sp,13
weighted+remat+spectral,fixture:hello-world-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:hello-world-aarch64,stp_sp,0
weighted+remat+spectral,fixture:hello-world-aarch64,mov_imm,8
weighted+remat+spectral,fixture:hello-world-aarch64,objects,1
weighted+remat+spectral,fixture:hello-world-aarch64,correct,1
weighted+remat+spectral,fixture:hello-world-aarch64,run_median_s,0.000343
weighted+remat+spectral,fixture:hello-world-aarch64,run_min_s,0.000323
baseline,fixture:fp-aarch64,compile_s,1.222
baseline,fixture:fp-aarch64,obj_bytes,29296
baseline,fixture:fp-aarch64,text_bytes,24927
baseline,fixture:fp-aarch64,insns,6105
baseline,fixture:fp-aarch64,ldr_sp,1437
baseline,fixture:fp-aarch64,str_sp,1396
baseline,fixture:fp-aarch64,ldp_sp,0
baseline,fixture:fp-aarch64,stp_sp,0
baseline,fixture:fp-aarch64,mov_imm,964
baseline,fixture:fp-aarch64,objects,1
baseline,fixture:fp-aarch64,correct,1
baseline,fixture:fp-aarch64,run_median_s,0.000591
baseline,fixture:fp-aarch64,run_min_s,0.000427
weighted,fixture:fp-aarch64,compile_s,1.222
weighted,fixture:fp-aarch64,obj_bytes,29488
weighted,fixture:fp-aarch64,text_bytes,25115
weighted,fixture:fp-aarch64,insns,6152
weighted,fixture:fp-aarch64,ldr_sp,1451
weighted,fixture:fp-aarch64,str_sp,1429
weighted,fixture:fp-aarch64,ldp_sp,0
weighted,fixture:fp-aarch64,stp_sp,0
weighted,fixture:fp-aarch64,mov_imm,964
weighted,fixture:fp-aarch64,objects,1
weighted,fixture:fp-aarch64,correct,1
weighted,fixture:fp-aarch64,run_median_s,0.000348
weighted,fixture:fp-aarch64,run_min_s,0.000334
weighted+remat,fixture:fp-aarch64,compile_s,1.22
weighted+remat,fixture:fp-aarch64,obj_bytes,32640
weighted+remat,fixture:fp-aarch64,text_bytes,28267
weighted+remat,fixture:fp-aarch64,insns,6940
weighted+remat,fixture:fp-aarch64,ldr_sp,1406
weighted+remat,fixture:fp-aarch64,str_sp,1819
weighted+remat,fixture:fp-aarch64,ldp_sp,0
weighted+remat,fixture:fp-aarch64,stp_sp,0
weighted+remat,fixture:fp-aarch64,mov_imm,1405
weighted+remat,fixture:fp-aarch64,objects,1
weighted+remat,fixture:fp-aarch64,correct,1
weighted+remat,fixture:fp-aarch64,run_median_s,0.000316
weighted+remat,fixture:fp-aarch64,run_min_s,0.000299
weighted+remat+spectral,fixture:fp-aarch64,compile_s,1.237
weighted+remat+spectral,fixture:fp-aarch64,obj_bytes,32680
weighted+remat+spectral,fixture:fp-aarch64,text_bytes,28307
weighted+remat+spectral,fixture:fp-aarch64,insns,6950
weighted+remat+spectral,fixture:fp-aarch64,ldr_sp,1411
weighted+remat+spectral,fixture:fp-aarch64,str_sp,1823
weighted+remat+spectral,fixture:fp-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:fp-aarch64,stp_sp,0
weighted+remat+spectral,fixture:fp-aarch64,mov_imm,1406
weighted+remat+spectral,fixture:fp-aarch64,objects,1
weighted+remat+spectral,fixture:fp-aarch64,correct,1
weighted+remat+spectral,fixture:fp-aarch64,run_median_s,0.000342
weighted+remat+spectral,fixture:fp-aarch64,run_min_s,0.000319
baseline,fixture:int128-aarch64,compile_s,5.822
baseline,fixture:int128-aarch64,obj_bytes,103648
baseline,fixture:int128-aarch64,text_bytes,89437
baseline,fixture:int128-aarch64,insns,21824
baseline,fixture:int128-aarch64,ldr_sp,4438
baseline,fixture:int128-aarch64,str_sp,4422
baseline,fixture:int128-aarch64,ldp_sp,0
baseline,fixture:int128-aarch64,stp_sp,0
baseline,fixture:int128-aarch64,mov_imm,4073
baseline,fixture:int128-aarch64,objects,1
baseline,fixture:int128-aarch64,correct,1
baseline,fixture:int128-aarch64,run_median_s,0.00071
baseline,fixture:int128-aarch64,run_min_s,0.000443
weighted,fixture:int128-aarch64,compile_s,5.913
weighted,fixture:int128-aarch64,obj_bytes,107096
weighted,fixture:int128-aarch64,text_bytes,92885
weighted,fixture:int128-aarch64,insns,22686
weighted,fixture:int128-aarch64,ldr_sp,4720
weighted,fixture:int128-aarch64,str_sp,5002
weighted,fixture:int128-aarch64,ldp_sp,0
weighted,fixture:int128-aarch64,stp_sp,0
weighted,fixture:int128-aarch64,mov_imm,4073
weighted,fixture:int128-aarch64,objects,1
weighted,fixture:int128-aarch64,correct,1
weighted,fixture:int128-aarch64,run_median_s,0.000404
weighted,fixture:int128-aarch64,run_min_s,0.00038
weighted+remat,fixture:int128-aarch64,compile_s,5.947
weighted+remat,fixture:int128-aarch64,obj_bytes,110144
weighted+remat,fixture:int128-aarch64,text_bytes,95933
weighted+remat,fixture:int128-aarch64,insns,23448
weighted+remat,fixture:int128-aarch64,ldr_sp,4375
weighted+remat,fixture:int128-aarch64,str_sp,5367
weighted+remat,fixture:int128-aarch64,ldp_sp,0
weighted+remat,fixture:int128-aarch64,stp_sp,0
weighted+remat,fixture:int128-aarch64,mov_imm,4815
weighted+remat,fixture:int128-aarch64,objects,1
weighted+remat,fixture:int128-aarch64,correct,1
weighted+remat,fixture:int128-aarch64,run_median_s,0.000805
weighted+remat,fixture:int128-aarch64,run_min_s,0.000546
weighted+remat+spectral,fixture:int128-aarch64,compile_s,5.854
weighted+remat+spectral,fixture:int128-aarch64,obj_bytes,110256
weighted+remat+spectral,fixture:int128-aarch64,text_bytes,96045
weighted+remat+spectral,fixture:int128-aarch64,insns,23476
weighted+remat+spectral,fixture:int128-aarch64,ldr_sp,4399
weighted+remat+spectral,fixture:int128-aarch64,str_sp,5370
weighted+remat+spectral,fixture:int128-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:int128-aarch64,stp_sp,0
weighted+remat+spectral,fixture:int128-aarch64,mov_imm,4816
weighted+remat+spectral,fixture:int128-aarch64,objects,1
weighted+remat+spectral,fixture:int128-aarch64,correct,1
weighted+remat+spectral,fixture:int128-aarch64,run_median_s,0.000517
weighted+remat+spectral,fixture:int128-aarch64,run_min_s,0.0004
baseline,fixture:hashmap-aarch64,compile_s,8.493
baseline,fixture:hashmap-aarch64,obj_bytes,147512
baseline,fixture:hashmap-aarch64,text_bytes,132321
baseline,fixture:hashmap-aarch64,insns,32976
baseline,fixture:hashmap-aarch64,ldr_sp,6960
baseline,fixture:hashmap-aarch64,str_sp,6227
baseline,fixture:hashmap-aarch64,ldp_sp,0
baseline,fixture:hashmap-aarch64,stp_sp,0
baseline,fixture:hashmap-aarch64,mov_imm,6599
baseline,fixture:hashmap-aarch64,objects,1
baseline,fixture:hashmap-aarch64,correct,1
baseline,fixture:hashmap-aarch64,run_median_s,0.000923
baseline,fixture:hashmap-aarch64,run_min_s,0.000676
weighted,fixture:hashmap-aarch64,compile_s,8.527
weighted,fixture:hashmap-aarch64,obj_bytes,159376
weighted,fixture:hashmap-aarch64,text_bytes,144185
weighted,fixture:hashmap-aarch64,insns,35942
weighted,fixture:hashmap-aarch64,ldr_sp,8234
weighted,fixture:hashmap-aarch64,str_sp,7917
weighted,fixture:hashmap-aarch64,ldp_sp,0
weighted,fixture:hashmap-aarch64,stp_sp,0
weighted,fixture:hashmap-aarch64,mov_imm,6599
weighted,fixture:hashmap-aarch64,objects,1
weighted,fixture:hashmap-aarch64,correct,1
weighted,fixture:hashmap-aarch64,run_median_s,0.000488
weighted,fixture:hashmap-aarch64,run_min_s,0.000467
weighted+remat,fixture:hashmap-aarch64,compile_s,8.58
weighted+remat,fixture:hashmap-aarch64,obj_bytes,174152
weighted+remat,fixture:hashmap-aarch64,text_bytes,158965
weighted+remat,fixture:hashmap-aarch64,insns,39637
weighted+remat,fixture:hashmap-aarch64,ldr_sp,7239
weighted+remat,fixture:hashmap-aarch64,str_sp,9687
weighted+remat,fixture:hashmap-aarch64,ldp_sp,0
weighted+remat,fixture:hashmap-aarch64,stp_sp,0
weighted+remat,fixture:hashmap-aarch64,mov_imm,9517
weighted+remat,fixture:hashmap-aarch64,objects,1
weighted+remat,fixture:hashmap-aarch64,correct,1
weighted+remat,fixture:hashmap-aarch64,run_median_s,0.000453
weighted+remat,fixture:hashmap-aarch64,run_min_s,0.000448
weighted+remat+spectral,fixture:hashmap-aarch64,compile_s,8.604
weighted+remat+spectral,fixture:hashmap-aarch64,obj_bytes,173240
weighted+remat+spectral,fixture:hashmap-aarch64,text_bytes,158049
weighted+remat+spectral,fixture:hashmap-aarch64,insns,39408
weighted+remat+spectral,fixture:hashmap-aarch64,ldr_sp,7182
weighted+remat+spectral,fixture:hashmap-aarch64,str_sp,9554
weighted+remat+spectral,fixture:hashmap-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:hashmap-aarch64,stp_sp,0
weighted+remat+spectral,fixture:hashmap-aarch64,mov_imm,9478
weighted+remat+spectral,fixture:hashmap-aarch64,objects,1
weighted+remat+spectral,fixture:hashmap-aarch64,correct,1
weighted+remat+spectral,fixture:hashmap-aarch64,run_median_s,0.001
weighted+remat+spectral,fixture:hashmap-aarch64,run_min_s,0.000753
baseline,fixture:itoa-aarch64,compile_s,1.315
baseline,fixture:itoa-aarch64,obj_bytes,22872
baseline,fixture:itoa-aarch64,text_bytes,19071
baseline,fixture:itoa-aarch64,insns,4653
baseline,fixture:itoa-aarch64,ldr_sp,1018
baseline,fixture:itoa-aarch64,str_sp,700
baseline,fixture:itoa-aarch64,ldp_sp,0
baseline,fixture:itoa-aarch64,stp_sp,0
baseline,fixture:itoa-aarch64,mov_imm,700
baseline,fixture:itoa-aarch64,objects,1
baseline,fixture:itoa-aarch64,correct,1
baseline,fixture:itoa-aarch64,run_median_s,0.000336
baseline,fixture:itoa-aarch64,run_min_s,0.000329
weighted,fixture:itoa-aarch64,compile_s,1.322
weighted,fixture:itoa-aarch64,obj_bytes,23080
weighted,fixture:itoa-aarch64,text_bytes,19279
weighted,fixture:itoa-aarch64,insns,4705
weighted,fixture:itoa-aarch64,ldr_sp,1038
weighted,fixture:itoa-aarch64,str_sp,732
weighted,fixture:itoa-aarch64,ldp_sp,0
weighted,fixture:itoa-aarch64,stp_sp,0
